method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch_PCA,imdb,2,1,0.53064,0.04945720788166599,0.5219587712865641,0.5390115502475052,0.2026960849761963
MainApproch_PCA,imdb,4,1,0.48612,0.1830031031071794,0.4130305660894595,0.5430228008394692,0.20392799377441406
MainApproch_PCA,imdb,4,2,0.49536,0.1830031031071794,0.20453972257250946,0.6304628002343292,0.19971370697021484
MainApproch_PCA,imdb,8,1,0.48964,0.1797793751274699,0.25538371753720457,0.611775445002282,0.27588891983032227
MainApproch_PCA,imdb,8,2,0.49984,0.1797793751274699,0.14391346022182663,0.6467197830140702,0.2791914939880371
MainApproch_PCA,imdb,8,4,0.49688,0.1797793751274699,0.3020752413716569,0.6066670836199888,0.22009539604187012
MainApproch_PCA,imdb,16,1,0.47636,0.18790671452253602,0.30511173629173527,0.5798915310805173,0.2166609764099121
MainApproch_PCA,imdb,16,2,0.4886,0.18790671452253602,0.23032929986153752,0.6170894606007966,0.20370197296142578
MainApproch_PCA,imdb,16,4,0.48772,0.18790671452253602,0.2500439187210869,0.6110014275734289,0.20357012748718262
MainApproch_PCA,imdb,16,8,0.47524,0.18790671452253602,0.310795902285264,0.5763281123849507,0.2044675350189209
MainApproch_PCA,imdb,32,1,0.49148,0.2244413703470553,0.23969858262065666,0.6179873193305088,0.2036116123199463
MainApproch_PCA,imdb,32,2,0.4936,0.2244413703470553,0.20845316993872703,0.6277127565723696,0.207794189453125
MainApproch_PCA,imdb,32,4,0.48988,0.2244413703470553,0.2597085969698729,0.6108687028956764,0.20903348922729492
MainApproch_PCA,imdb,32,8,0.49376,0.2244413703470553,0.3165568635921806,0.597992503652881,0.20978140830993652
MainApproch_PCA,imdb,32,16,0.49588,0.2244413703470553,0.3842282698978844,0.5732570345037754,0.20911955833435059
MainApproch_PCA,imdb,64,1,0.4898,0.22161709329710533,0.24468526085154263,0.6148038534714462,0.2081918716430664
MainApproch_PCA,imdb,64,2,0.49252,0.22161709329710533,0.2157383940161958,0.6249002158294651,0.21493101119995117
MainApproch_PCA,imdb,64,4,0.49476,0.22161709329710533,0.2023365961477739,0.6302941606907655,0.21788668632507324
MainApproch_PCA,imdb,64,8,0.4898,0.22161709329710533,0.25683155625473403,0.611566221031154,0.22017240524291992
MainApproch_PCA,imdb,64,16,0.493,0.22161709329710533,0.3022295623451693,0.6018533061096277,0.21924805641174316
MainApproch_PCA,imdb,64,32,0.49924,0.22161709329710533,0.38743455497382195,0.5765314751547542,0.22408819198608398
MainApproch_PCA,imdb,128,1,0.4898,0.22332480515456707,0.2665746650566385,0.6088503173970377,0.21690607070922852
MainApproch_PCA,imdb,128,2,0.4926,0.22332480515456707,0.2229709035222052,0.6233110616184112,0.23546242713928223
MainApproch_PCA,imdb,128,4,0.48964,0.22332480515456707,0.25066071533446876,0.613047038486034,0.23857378959655762
MainApproch_PCA,imdb,128,8,0.48992,0.22332480515456707,0.2627197039777983,0.610078277886497,0.23863887786865234
MainApproch_PCA,imdb,128,16,0.49188,0.22332480515456707,0.30184116515526244,0.6005973903474296,0.2409672737121582
MainApproch_PCA,imdb,128,32,0.49192,0.22332480515456707,0.3449876237623762,0.5850104547830632,0.24532103538513184
MainApproch_PCA,imdb,128,64,0.4934,0.22332480515456707,0.4113409249360911,0.5553800245743374,0.2520449161529541
MainApproch_PCA,imdb,256,1,0.48612,0.22788078611900175,0.25898367652996485,0.6066803416710039,0.22852396965026855
MainApproch_PCA,imdb,256,2,0.4906,0.22788078611900175,0.22672900601129395,0.6202022009483762,0.27239084243774414
MainApproch_PCA,imdb,256,4,0.48996,0.22788078611900175,0.25007351643827563,0.6135709306906688,0.27512264251708984
MainApproch_PCA,imdb,256,8,0.4862,0.22788078611900175,0.2679660340798997,0.6041968385049148,0.27785301208496094
MainApproch_PCA,imdb,256,16,0.48552,0.22788078611900175,0.2950783733421024,0.5949486678843611,0.28011488914489746
MainApproch_PCA,imdb,256,32,0.49068,0.22788078611900175,0.3337344984563864,0.5877820583379196,0.28557634353637695
MainApproch_PCA,imdb,256,64,0.49236,0.22788078611900175,0.3854534889351605,0.5675832225970221,0.28766441345214844
MainApproch_PCA,imdb,256,128,0.49256,0.22788078611900175,0.45646958011996575,0.5241560390097524,0.29677438735961914
MainApproch_PCA,imdb,512,1,0.49352,0.23523005464813382,0.23906249999999998,0.6204436450839328,0.24833226203918457
MainApproch_PCA,imdb,512,2,0.49344,0.23523005464813382,0.2379347695270189,0.620633874543167,0.3251032829284668
MainApproch_PCA,imdb,512,4,0.49076,0.23523005464813382,0.2509854680237689,0.6142471896494258,0.32596397399902344
MainApproch_PCA,imdb,512,8,0.49076,0.23523005464813382,0.2649113690166868,0.6104464367675408,0.32837653160095215
MainApproch_PCA,imdb,512,16,0.48856,0.23523005464813382,0.27236512633735493,0.6057111138522265,0.39415526390075684
MainApproch_PCA,imdb,512,32,0.49232,0.23523005464813382,0.32575435614109644,0.5928919681806518,0.3392198085784912
MainApproch_PCA,imdb,512,64,0.49336,0.23523005464813382,0.36714299990006993,0.5776028813446275,0.35560083389282227
MainApproch_PCA,imdb,512,128,0.49412,0.23523005464813382,0.40882531669237604,0.5579054077673297,0.37653565406799316
MainApproch_PCA,imdb,512,256,0.496,0.23523005464813382,0.47569906790945404,0.5147874306839186,0.40187907218933105
MainApproch_PCA,imdb,1024,1,0.49328,0.2548821722028831,0.2841320072332731,0.6078504210004952,0.29206275939941406
MainApproch_PCA,imdb,1024,2,0.4928,0.2548821722028831,0.18013707487391695,0.6328256211270052,0.4447798728942871
MainApproch_PCA,imdb,1024,4,0.48956,0.2548821722028831,0.25413525045297797,0.6120215256453133,0.44306349754333496
MainApproch_PCA,imdb,1024,8,0.48984,0.2548821722028831,0.25615303860958827,0.6117976502100202,0.44629645347595215
MainApproch_PCA,imdb,1024,16,0.48796,0.2548821722028831,0.28386013986013986,0.6015252918287938,0.4490621089935303
MainApproch_PCA,imdb,1024,32,0.48844,0.2548821722028831,0.3054363764731439,0.5951182448475639,0.45549631118774414
MainApproch_PCA,imdb,1024,64,0.49028,0.2548821722028831,0.3132309350579358,0.5947527428844014,0.473956823348999
