method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch_PCA,imdb,1024,8,0.52956,0.20143849082374485,0.36772216547497455,0.6254339310169115,0.5117881298065186
MainApproch_PCA,imdb,1024,16,0.52908,0.20143849082374485,0.34335434212727983,0.6329082348539178,0.5127987861633301
MainApproch_PCA,imdb,1024,32,0.53052,0.20143849082374485,0.3920857719997928,0.6176001042582999,0.5180869102478027
MainApproch_PCA,imdb,1024,64,0.53036,0.20143849082374485,0.3853844945820028,0.6199954688157426,0.526890754699707
MainApproch_PCA,imdb,1024,128,0.53068,0.20143849082374485,0.40122480224547075,0.6141095214602862,0.542412519454956
MainApproch_PCA,imdb,1024,256,0.52708,0.20143849082374485,0.4312857761316081,0.595255212077642,0.5730829238891602
MainApproch_PCA,imdb,1024,512,0.52208,0.20143849082374485,0.48751822939006606,0.5522746009143371,0.5895822048187256
MainApproch_PCA,sst2,2,1,0.5091743119266054,0.11363928657608387,0.0,0.6747720364741641,0.008111715316772461
MainApproch_PCA,sst2,4,1,0.5091743119266054,0.12060403577975395,0.0,0.6747720364741641,0.008038759231567383
MainApproch_PCA,sst2,4,2,0.5091743119266054,0.12060403577975395,0.0,0.6747720364741641,0.007944345474243164
MainApproch_PCA,sst2,8,1,0.5091743119266054,0.14662301709879244,0.0046511627906976735,0.6742770167427703,0.007950544357299805
MainApproch_PCA,sst2,8,2,0.5091743119266054,0.14662301709879244,0.0,0.6747720364741641,0.007894754409790039
MainApproch_PCA,sst2,8,4,0.5091743119266054,0.14662301709879244,0.0,0.6747720364741641,0.007848262786865234
MainApproch_PCA,sst2,16,1,0.5114678899082569,0.14241379930288772,0.0184331797235023,0.6748091603053435,0.00788736343383789
MainApproch_PCA,sst2,16,2,0.5091743119266054,0.14241379930288772,0.0,0.6747720364741641,0.007915735244750977
MainApproch_PCA,sst2,16,4,0.5091743119266054,0.14241379930288772,0.0,0.6747720364741641,0.00784158706665039
MainApproch_PCA,sst2,16,8,0.5091743119266054,0.14241379930288772,0.0,0.6747720364741641,0.00794219970703125
MainApproch_PCA,sst2,32,1,0.5194954128440367,0.14405148606826337,0.12159329140461214,0.6692975532754537,0.007948637008666992
MainApproch_PCA,sst2,32,2,0.5114678899082569,0.14405148606826337,0.06986899563318777,0.6687402799377916,0.00824594497680664
